tDate,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2020-08-21,Australia,,3,3,2,4,1,2,2,4
2020-08-21,Austria,,1,1,1,2,0,0,0,3
2020-08-21,Belgium,,1,2,2,4,0,2,0,3
2020-08-21,Canada,,3,2,2,4,0,1,2,4
2020-08-21,Canada,Alberta,1,2,1,2,1,0,1,4
2020-08-21,Canada,British Columbia,3,1,2,3,0,0,2,4
2020-08-21,Canada,Manitoba,2,1,2,3,0,1,1,4
2020-08-21,Canada,New Brunswick,2,1,2,3,1,0,2,4
2020-08-21,Canada,Newfoundland and Labrador,2,1,2,3,0,1,2,4
2020-08-21,Canada,Northwest Territories,2,2,2,3,0,0,2,4
2020-08-21,Canada,Nova Scotia,3,0,1,3,0,0,2,4
2020-08-21,Canada,Nunavut,2,2,1,3,0,1,2,4
2020-08-21,Canada,Ontario,3,2,1,3,1,0,0,4
2020-08-21,Canada,Prince Edward Island,2,1,1,3,0,1,2,4
2020-08-21,Canada,Quebec,3,2,2,3,0,0,0,4
2020-08-21,Canada,Saskatchewan,3,2,1,3,0,1,0,9
2020-08-21,Canada,Yukon,1,1,1,3,1,0,2,9
2020-08-21,Chile,,3,3,2,3,2,3,2,4
2020-08-21,China,,2,3,2,4,2,3,2,3
2020-08-21,China,Anhui,1,1,1,2,1,0,1,4
2020-08-21,China,Beijing,2,1,1,0,1,1,1,4
2020-08-21,China,Chongqing,1,1,1,3,1,1,1,4
2020-08-21,China,Fujian,1,1,1,3,1,1,1,4
2020-08-21,China,Gansu,1,1,1,0,1,1,1,4
2020-08-21,China,Guangdong,1,1,1,4,1,1,1,4
2020-08-21,China,Guangxi,1,1,1,0,1,0,1,4
2020-08-21,China,Guizhou,1,1,1,0,0,0,1,4
2020-08-21,China,Hainan,1,0,0,0,1,0,1,4
2020-08-21,China,Hebei,2,1,1,0,1,0,0,9
2020-08-21,China,Heilongjiang,2,2,1,3,1,1,1,4
2020-08-21,China,Henan,1,1,2,3,1,1,1,4
2020-08-21,China,Hubei,1,1,1,3,1,1,1,4
2020-08-21,China,Hunan,1,1,1,0,0,0,1,4
2020-08-21,China,Inner Mongolia,1,1,1,0,1,1,1,4
2020-08-21,China,Jiangsu,1,1,1,1,1,1,1,4
2020-08-21,China,Jiangxi,1,2,1,1,0,1,1,4
2020-08-21,China,Jilin,2,1,1,2,1,1,1,4
2020-08-21,China,Liaoning,1,2,1,0,0,0,2,4
2020-08-21,China,Ningxia,1,0,2,3,1,1,1,4
2020-08-21,China,Qinghai,1,1,1,1,1,1,1,4
2020-08-21,China,Shaanxi,1,1,2,3,1,1,1,4
2020-08-21,China,Shandong,1,0,1,1,0,0,0,4
2020-08-21,China,Shanghai,2,1,1,3,1,1,1,4
2020-08-21,China,Shanxi,1,1,1,1,1,1,1,4
2020-08-21,China,Sichuan,1,1,1,0,1,1,1,4
2020-08-21,China,Tianjin,1,1,2,0,1,1,2,4
2020-08-21,China,Tibet,1,1,2,3,0,1,1,4
2020-08-21,China,Xinjiang,1,3,2,4,2,3,2,4
2020-08-21,China,Yunnan,1,1,1,1,1,1,1,4
2020-08-21,China,Zhejiang,1,1,1,1,1,1,1,4
2020-08-21,Colombia,,3,3,2,4,1,2,2,4
2020-08-21,Costa Rica,,3,2,2,3,0,1,2,3
2020-08-21,Czechia,,1,1,1,1,0,0,1,3
2020-08-21,Denmark,,1,2,1,2,1,1,0,3
2020-08-21,Estonia,,1,1,1,1,0,0,0,2
2020-08-21,Finland,,1,1,1,0,0,0,0,3
2020-08-21,France,,1,2,1,4,0,0,1,3
2020-08-21,Germany,,2,2,2,3,0,0,2,3
2020-08-21,Greece,,1,1,2,3,1,1,1,3
2020-08-21,Hungary,,2,1,1,2,0,1,1,3
2020-08-21,Iceland,,1,1,2,3,0,0,0,3
2020-08-21,Ireland,,2,3,2,3,1,1,2,2
2020-08-21,Israel,,1,1,0,3,1,0,0,2
2020-08-21,Italy,,3,2,2,2,0,0,0,3
2020-08-21,Japan,,1,1,1,0,0,1,1,3
2020-08-21,Latvia,,3,2,0,1,0,1,0,2
2020-08-21,Lithuania,,2,1,0,1,0,1,0,2
2020-08-21,Luxembourg,,1,1,1,4,0,1,0,3
2020-08-21,Mexico,,3,3,2,3,1,2,2,3
2020-08-21,Netherlands,,1,2,1,4,0,1,0,3
2020-08-21,New Zealand,,2,3,2,4,0,2,2,4
2020-08-21,Norway,,1,1,0,3,0,0,1,2
2020-08-21,Poland,,2,2,0,2,0,0,0,3
2020-08-21,Portugal,,2,2,2,4,1,0,0,3
2020-08-21,Slovakia,,2,1,0,2,0,0,0,2
2020-08-21,Slovenia,,1,2,2,3,0,0,0,3
2020-08-21,South Korea,,2,2,2,4,0,1,1,3
2020-08-21,Spain,,2,2,2,4,0,1,2,3
2020-08-21,Sweden,,1,1,2,3,1,1,0,3
2020-08-21,Switzerland,,0,2,2,3,0,0,0,3
2020-08-21,Taiwan,,1,0,0,0,0,0,0,3
2020-08-21,Turkey,,3,2,2,0,0,2,0,1
2020-08-21,United Kingdom,,2,2,2,4,1,1,2,2
2020-08-21,United Kingdom,England,2,2,2,4,1,0,2,2
2020-08-21,United Kingdom,Northern Ireland,3,2,2,4,1,0,0,2
2020-08-21,United Kingdom,Scotland,1,2,2,4,1,1,2,2
2020-08-21,United Kingdom,Wales,2,2,2,4,1,0,0,2
2020-08-21,United States,,3,2,2,4,1,1,2,3
2020-08-21,United States,Alabama,2,1,1,0,1,1,1,3
2020-08-21,United States,Alaska,3,2,1,3,0,1,2,3
2020-08-21,United States,Arizona,2,2,1,3,1,1,1,3
2020-08-21,United States,Arkansas,3,2,1,3,1,1,1,3
2020-08-21,United States,California,3,2,2,4,0,1,1,3
2020-08-21,United States,Colorado,2,2,1,4,1,1,1,3
2020-08-21,United States,Connecticut,3,2,1,3,1,1,2,3
2020-08-21,United States,Delaware,3,2,2,2,1,1,1,3
2020-08-21,United States,Florida,2,2,2,4,1,2,1,3
2020-08-21,United States,Georgia,2,1,2,3,1,2,1,3
2020-08-21,United States,Hawaii,3,2,2,4,1,2,2,3
2020-08-21,United States,Idaho,2,2,1,4,0,1,2,3
2020-08-21,United States,Illinois,3,1,1,3,0,1,2,3
2020-08-21,United States,Indiana,3,1,1,2,0,1,1,3
