Date,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2020-10-13,Australia,,2,2,2,4,1,2,2,4
2020-10-13,Austria,,1,1,2,4,0,1,0,3
2020-10-13,Belgium,,1,2,1,4,0,0,0,3
2020-10-13,Canada,,2,2,2,4,0,1,2,4
2020-10-13,Canada,Alberta,1,2,1,3,0,0,0,4
2020-10-13,Canada,British Columbia,1,2,2,3,0,0,1,4
2020-10-13,Canada,Manitoba,1,1,2,3,0,2,2,4
2020-10-13,Canada,New Brunswick,1,1,2,4,1,0,2,4
2020-10-13,Canada,Newfoundland and Labrador,1,1,1,3,0,1,2,4
2020-10-13,Canada,Northwest Territories,0,2,2,3,0,0,2,4
2020-10-13,Canada,Nova Scotia,1,0,1,3,0,0,2,4
2020-10-13,Canada,Nunavut,1,2,1,3,0,1,2,4
2020-10-13,Canada,Ontario,2,2,1,4,1,1,0,4
2020-10-13,Canada,Prince Edward Island,1,1,1,3,0,1,2,4
2020-10-13,Canada,Quebec,2,2,2,4,0,1,1,4
2020-10-13,Canada,Saskatchewan,2,2,1,3,0,1,0,9
2020-10-13,Canada,Yukon,1,1,1,3,1,0,2,9
2020-10-13,Chile,,3,3,2,3,2,3,2,4
2020-10-13,China,,1,2,2,3,0,3,2,3
2020-10-13,China,Anhui,1,1,1,2,1,0,1,2
2020-10-13,China,Beijing,1,1,1,0,1,1,1,2
2020-10-13,China,Chongqing,1,1,1,2,1,1,1,3
2020-10-13,China,Fujian,1,1,1,3,1,1,1,2
2020-10-13,China,Gansu,1,1,1,0,1,1,1,2
2020-10-13,China,Guangdong,1,1,1,1,1,1,1,2
2020-10-13,China,Guangxi,1,1,1,0,1,0,1,2
2020-10-13,China,Guizhou,1,1,1,0,0,0,1,2
2020-10-13,China,Hainan,1,0,0,0,1,0,1,2
2020-10-13,China,Hebei,1,1,1,0,1,0,0,9
2020-10-13,China,Heilongjiang,1,2,1,3,1,1,1,2
2020-10-13,China,Henan,1,1,2,3,1,1,1,2
2020-10-13,China,Hubei,1,1,1,3,1,1,1,2
2020-10-13,China,Hunan,1,1,1,0,0,0,1,2
2020-10-13,China,Inner Mongolia,1,1,1,0,1,1,1,2
2020-10-13,China,Jiangsu,1,1,1,1,1,1,1,2
2020-10-13,China,Jiangxi,1,2,1,1,0,1,1,2
2020-10-13,China,Jilin,1,1,1,2,1,1,1,2
2020-10-13,China,Liaoning,1,1,1,0,0,0,2,2
2020-10-13,China,Ningxia,1,0,2,3,1,1,1,2
2020-10-13,China,Qinghai,1,1,1,1,1,1,1,2
2020-10-13,China,Shaanxi,1,1,1,3,1,1,1,2
2020-10-13,China,Shandong,1,0,1,1,1,3,1,2
2020-10-13,China,Shanghai,1,1,1,3,1,1,1,2
2020-10-13,China,Shanxi,1,1,1,1,1,1,1,2
2020-10-13,China,Sichuan,1,1,1,0,1,1,1,2
2020-10-13,China,Tianjin,1,1,1,0,1,1,1,2
2020-10-13,China,Tibet,1,1,2,3,0,1,1,2
