Date,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2021-08-20,Australia,,2,3,2,4,1,2,2,4
2021-08-20,Austria,,2,2,1,2,1,0,2,3
2021-08-20,Belgium,,1,2,1,4,0,0,0,3
2021-08-20,Canada,,2,2,1,4,1,1,2,4
2021-08-20,Canada,Alberta,1,0,1,0,0,1,0,4
2021-08-20,Canada,British Columbia,1,1,1,3,0,1,2,4
2021-08-20,Canada,Manitoba,2,0,1,1,0,1,2,4
2021-08-20,Canada,New Brunswick,1,0,1,0,0,1,0,4
2021-08-20,Canada,Newfoundland and Labrador,1,1,1,2,1,1,2,4
2021-08-20,Canada,Northwest Territories,3,2,2,4,1,1,2,4
2021-08-20,Canada,Nova Scotia,1,1,1,3,0,1,2,4
2021-08-20,Canada,Nunavut,2,1,1,3,0,1,2,9
2021-08-20,Canada,Ontario,9,9,9,9,9,9,9,9
2021-08-20,Canada,Prince Edward Island,9,9,9,9,9,9,9,9
2021-08-20,Canada,Quebec,9,9,9,9,9,9,9,9
2021-08-20,Canada,Saskatchewan,9,9,9,9,9,9,9,9
2021-08-20,Canada,Yukon,1,1,1,4,0,1,0,9
2021-08-20,Chile,,2,3,2,3,1,2,2,2
2021-08-20,China,,9,9,9,9,9,9,9,9
2021-08-20,China,Anhui,1,2,2,4,1,1,2,3
2021-08-20,China,Beijing,1,1,2,2,1,1,2,3
2021-08-20,China,Chongqing,1,2,1,1,1,1,1,3
2021-08-20,China,Fujian,1,2,2,3,0,0,1,3
2021-08-20,China,Gansu,1,2,2,3,0,0,1,3
2021-08-20,China,Guangdong,1,2,2,3,2,1,1,3
2021-08-20,China,Guangxi,1,1,2,0,2,0,2,3
2021-08-20,China,Guizhou,1,2,1,3,0,1,1,3
2021-08-20,China,Hainan,1,1,1,0,1,1,2,3
2021-08-20,China,Hebei,2,1,2,4,2,0,2,3
2021-08-20,China,Heilongjiang,1,1,2,0,1,1,1,3
2021-08-20,China,Henan,2,3,2,4,2,2,2,3
2021-08-20,China,Hubei,2,2,2,4,2,3,2,3
2021-08-20,China,Hunan,1,3,2,4,2,3,2,3
2021-08-20,China,Inner Mongolia,1,2,2,4,1,1,2,3
2021-08-20,China,Jiangsu,2,2,2,4,0,3,2,3
2021-08-20,China,Jiangxi,2,1,2,4,0,1,2,3
2021-08-20,China,Jilin,1,2,2,4,0,1,2,3
2021-08-20,China,Liaoning,1,2,2,3,0,0,2,3
2021-08-20,China,Ningxia,2,2,2,2,0,0,2,3
2021-08-20,China,Qinghai,1,1,1,1,1,1,2,3
2021-08-20,China,Shaanxi,1,2,2,4,0,1,2,3
2021-08-20,China,Shandong,1,2,2,4,0,0,1,3
2021-08-20,China,Shanghai,1,2,1,4,1,1,2,3
2021-08-20,China,Shanxi,1,1,1,3,1,1,1,3
2021-08-20,China,Sichuan,1,1,1,1,1,0,2,3
2021-08-20,China,Tianjin,1,1,1,1,1,0,1,3
2021-08-20,China,Tibet,1,1,1,2,1,1,1,3
2021-08-20,China,Xinjiang,1,1,1,1,0,0,1,3
2021-08-20,China,Yunnan,1,2,2,4,1,1,2,3
2021-08-20,China,Zhejiang,1,2,2,4,1,1,2,3
2021-08-20,Colombia,,3,1,1,3,2,2,1,1
2021-08-20,Costa Rica,,2,2,2,3,0,1,1,1
2021-08-20,Czechia,,1,1,0,1,0,0,0,2
2021-08-20,Denmark,,1,2,1,2,0,0,0,2
2021-08-20,Estonia,,1,0,0,1,0,0,0,2
2021-08-20,Finland,,1,1,1,4,0,1,0,2
2021-08-20,France,,1,2,2,3,1,0,2,3
2021-08-20,Germany,,1,2,2,3,1,1,0,2
2021-08-20,Greece,,1,1,1,4,1,1,2,1
2021-08-20,Hungary,,0,0,1,2,0,0,0,1
2021-08-20,Iceland,,2,1,1,2,0,0,0,3
2021-08-20,Ireland,,1,2,1,3,0,1,0,3
2021-08-20,Israel,,2,2,2,3,0,0,0,4
2021-08-20,Italy,,1,2,1,1,1,0,1,3
2021-08-20,Japan,,1,2,1,2,0,1,1,4
2021-08-20,Latvia,,2,1,1,3,0,0,0,2
2021-08-20,Lithuania,,1,1,1,0,0,0,0,2
2021-08-20,Luxembourg,,1,1,1,2,0,0,0,3
2021-08-20,Mexico,,3,3,2,4,1,2,2,1
2021-08-20,Netherlands,,1,2,1,0,1,0,0,3
2021-08-20,New Zealand,,3,3,2,4,2,2,2,4
2021-08-20,Norway,,1,1,1,0,1,1,0,2
2021-08-20,Poland,,1,1,1,2,0,1,0,2
2021-08-20,Portugal,,1,2,2,4,1,0,0,3
2021-08-20,Slovakia,,1,1,1,3,0,0,0,2
2021-08-20,Slovenia,,1,1,1,3,0,0,0,1
2021-08-20,South Korea,,3,2,2,4,0,0,0,2
2021-08-20,Spain,,1,1,2,4,0,2,0,2
2021-08-20,Sweden,,0,0,1,3,0,1,0,3
2021-08-20,Switzerland,,1,1,1,3,0,1,0,3
2021-08-20,Taiwan,,2,2,1,3,0,0,1,4
2021-08-20,Turkey,,1,1,1,0,0,0,0,3
2021-08-20,United Kingdom,,1,2,1,4,1,0,0,3
2021-08-20,United Kingdom,England,1,0,0,0,0,0,0,3
2021-08-20,United Kingdom,Northern Ireland,1,2,1,4,1,0,0,3
2021-08-20,United Kingdom,Scotland,1,0,1,0,0,0,0,3
2021-08-20,United Kingdom,Wales,1,0,0,0,0,0,0,3
2021-08-20,United States,,2,2,1,4,1,1,2,3
2021-08-20,United States,Alabama,0,0,0,0,0,0,1,3
2021-08-20,United States,Alaska,1,1,1,3,0,1,1,3
2021-08-20,United States,Arizona,0,0,0,0,0,0,1,3
2021-08-20,United States,Arkansas,0,0,0,0,0,0,1,3
2021-08-20,United States,California,1,0,1,1,0,0,1,3
2021-08-20,United States,Colorado,1,1,1,1,1,0,1,3
2021-08-20,United States,Connecticut,0,0,0,0,0,0,1,3
2021-08-20,United States,Delaware,2,0,0,0,0,0,1,3
2021-08-20,United States,Florida,0,0,0,0,0,0,1,3
2021-08-20,United States,Georgia,1,1,1,0,0,0,1,3
2021-08-20,United States,Hawaii,9,9,9,9,9,9,9,9
2021-08-20,United States,Idaho,1,1,0,0,0,0,1,3
2021-08-20,United States,Illinois,0,0,0,0,0,0,1,3
2021-08-20,United States,Indiana,2,0,0,0,0,0,1,3
2021-08-20,United States,Iowa,0,0,0,0,0,0,1,3
2021-08-20,United States,Kansas,9,9,9,9,9,9,9,9
2021-08-20,United States,Kentucky,1,1,1,1,0,1,1,3
2021-08-20,United States,Louisiana,1,2,2,2,0,1,1,3
2021-08-20,United States,Maine,1,0,0,0,0,0,1,3
2021-08-20,United States,Maryland,1,0,0,0,0,0,1,3
2021-08-20,United States,Massachusetts,1,0,0,0,1,0,1,3
2021-08-20,United States,Michigan,1,0,0,0,0,0,1,3
2021-08-20,United States,Minnesota,2,0,0,0,0,0,1,3
2021-08-20,United States,Mississippi,1,1,1,0,0,0,1,3
2021-08-20,United States,Missouri,1,0,0,0,0,0,1,3
2021-08-20,United States,Montana,1,1,1,0,0,0,1,3
2021-08-20,United States,Nebraska,0,0,0,0,0,1,1,3
2021-08-20,United States,Nevada,1,0,0,0,0,0,1,3
2021-08-20,United States,New Hampshire,1,1,1,0,0,0,1,3
2021-08-20,United States,New Jersey,0,0,0,0,0,0,1,3
2021-08-20,United States,New Mexico,2,1,0,0,0,0,1,3
2021-08-20,United States,New York,2,1,1,1,0,0,1,3
2021-08-20,United States,North Carolina,1,1,1,0,1,0,1,3
2021-08-20,United States,North Dakota,1,0,1,1,0,0,1,3
2021-08-20,United States,Ohio,1,0,0,0,0,0,1,3
2021-08-20,United States,Oklahoma,1,1,1,0,1,1,1,3
2021-08-20,United States,Oregon,9,9,9,9,9,9,9,9
2021-08-20,United States,Pennsylvania,0,0,0,0,0,0,1,3
2021-08-20,United States,Rhode Island,1,0,1,0,0,0,1,3
2021-08-20,United States,South Carolina,1,1,1,0,0,0,1,3
2021-08-20,United States,South Dakota,1,0,0,0,0,0,1,3
2021-08-20,United States,Tennessee,1,0,0,0,0,0,1,3
2021-08-20,United States,Texas,2,1,1,0,0,1,1,3
2021-08-20,United States,Utah,1,1,1,9,9,9,9,9
2021-08-20,United States,Vermont,0,0,0,0,0,0,1,3
2021-08-20,United States,Virginia,0,0,0,0,0,0,2,3
2021-08-20,United States,Washington,9,9,9,9,9,9,9,9
2021-08-20,United States,Washington DC,9,9,9,9,9,9,9,9
2021-08-20,United States,West Virginia,9,9,9,9,9,9,9,9
2021-08-20,United States,Wisconsin,0,0,0,0,0,0,1,3
2021-08-20,United States,Wyoming,1,1,0,0,2,0,1,3
