Date,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2020-12-12,Australia,,1,2,2,4,1,1,2,4
2020-12-12,Austria,,1,2,2,4,1,2,1,3
2020-12-12,Belgium,,1,2,2,4,0,2,0,3
2020-12-12,Canada,,3,3,2,4,0,1,2,4
2020-12-12,Canada,Alberta,2,2,2,4,0,1,1,4
2020-12-12,Canada,British Columbia,1,2,2,4,0,1,1,4
2020-12-12,Canada,Manitoba,2,3,2,4,0,2,2,4
2020-12-12,Canada,New Brunswick,1,1,2,4,1,0,2,4
2020-12-12,Canada,Newfoundland and Labrador,1,1,1,3,0,1,2,4
2020-12-12,Canada,Northwest Territories,0,2,2,3,1,0,2,4
2020-12-12,Canada,Nova Scotia,2,2,2,4,0,1,2,4
2020-12-12,Canada,Nunavut,3,3,2,4,0,2,2,4
2020-12-12,Canada,Ontario,2,3,2,4,1,1,0,4
2020-12-12,Canada,Prince Edward Island,2,2,2,4,0,2,2,4
2020-12-12,Canada,Quebec,2,2,2,4,0,1,1,4
2020-12-12,Canada,Saskatchewan,2,2,2,4,0,1,1,9
2020-12-12,Canada,Yukon,1,1,1,3,1,0,2,9
2020-12-12,Chile,,3,3,2,4,1,3,2,1
2020-12-12,China,,3,2,2,4,2,3,2,3
2020-12-12,China,Anhui,1,1,1,2,1,0,1,3
2020-12-12,China,Beijing,1,1,1,0,1,1,1,3
2020-12-12,China,Chongqing,1,1,1,2,1,1,1,3
2020-12-12,China,Fujian,1,1,1,3,1,1,1,3
2020-12-12,China,Gansu,1,1,1,0,1,1,1,3
2020-12-12,China,Guangdong,1,1,1,1,1,1,1,3
2020-12-12,China,Guangxi,1,1,1,0,1,0,1,3
2020-12-12,China,Guizhou,1,1,1,0,0,0,1,3
2020-12-12,China,Hainan,1,0,0,0,1,0,1,3
2020-12-12,China,Hebei,1,1,1,0,1,0,0,9
2020-12-12,China,Heilongjiang,2,2,2,3,2,3,2,3
2020-12-12,China,Henan,1,1,2,3,1,1,1,3
2020-12-12,China,Hubei,1,1,1,3,1,1,1,3
2020-12-12,China,Hunan,1,1,1,0,0,0,1,3
2020-12-12,China,Inner Mongolia,3,2,2,4,2,3,1,3
2020-12-12,China,Jiangsu,1,1,1,1,1,1,1,3
2020-12-12,China,Jiangxi,1,1,1,1,0,1,1,3
2020-12-12,China,Jilin,1,1,1,2,1,1,1,3
2020-12-12,China,Liaoning,1,1,1,0,0,0,1,3
2020-12-12,China,Ningxia,1,0,2,3,1,1,1,3
2020-12-12,China,Qinghai,1,1,1,1,1,1,1,3
2020-12-12,China,Shaanxi,1,1,1,3,1,1,1,3
2020-12-12,China,Shandong,1,2,1,1,0,0,0,3
2020-12-12,China,Shanghai,1,1,1,3,1,1,1,3
2020-12-12,China,Shanxi,1,1,1,1,1,1,1,3
2020-12-12,China,Sichuan,3,2,2,4,1,3,1,3
2020-12-12,China,Tianjin,1,1,1,0,1,1,1,3
2020-12-12,China,Tibet,1,1,2,3,0,1,1,3
2020-12-12,China,Xinjiang,3,3,2,1,2,3,2,3
2020-12-12,China,Yunnan,1,1,1,1,1,1,1,3
2020-12-12,China,Zhejiang,1,1,1,1,1,1,1,3
2020-12-12,Colombia,,2,1,1,3,1,1,1,4
2020-12-12,Costa Rica,,3,2,2,3,0,1,0,1
2020-12-12,Czechia,,2,1,1,4,0,1,2,3
2020-12-12,Denmark,,2,2,2,4,0,1,0,3
2020-12-12,Estonia,,1,2,2,4,0,0,0,3
2020-12-12,Finland,,2,2,2,4,0,1,0,3
2020-12-12,France,,2,2,2,4,0,2,2,3
2020-12-12,Germany,,1,2,2,4,1,1,1,3
2020-12-12,Greece,,3,2,2,4,1,2,2,3
