tDate,Country,Province,School,Workplace,CancelPublicEvents,RestrictionsOnGatherings,PublicTransport,StayAtHome,RestrictionsOnInternal,InternationalTravel
2021-10-14,Australia,,2,3,2,4,1,2,2,4
2021-10-14,Austria,,2,2,1,3,1,0,0,3
2021-10-14,Belgium,,1,2,1,2,0,0,0,3
2021-10-14,Canada,,3,3,2,4,0,1,2,3
2021-10-14,Canada,Alberta,1,2,1,4,0,1,0,3
2021-10-14,Canada,British Columbia,0,1,1,4,0,1,0,3
2021-10-14,Canada,Manitoba,2,1,1,3,0,1,2,3
2021-10-14,Canada,New Brunswick,2,2,2,4,0,1,2,3
2021-10-14,Canada,Newfoundland and Labrador,1,1,1,2,0,1,2,3
2021-10-14,Canada,Northwest Territories,3,3,2,4,1,2,2,3
2021-10-14,Canada,Nova Scotia,2,0,1,3,0,1,2,3
2021-10-14,Canada,Ontario,1,1,1,3,0,1,0,3
2021-10-14,Canada,Prince Edward Island,1,1,1,3,0,1,2,3
2021-10-14,Canada,Quebec,1,1,1,4,0,1,0,3
2021-10-14,Chile,,1,1,1,3,0,0,2,0
2021-10-14,China,Anhui,1,1,1,4,1,1,2,3
2021-10-14,China,Beijing,1,1,1,2,1,1,2,3
2021-10-14,China,Chongqing,1,1,1,1,1,1,1,3
2021-10-14,Switzerland,,1,1,2,3,0,0,0,3
