tDate,Country,Province,SchoolFlag,WorkplaceFlag,CancelPublicEventsFlag,RestrictionsOnGatheringsFlag,PublicTransportFlag,StayAtHomeFlag,RestrictionsOnInternalFlag,PublicInformationCampaignsFlag
2022-11-23,Australia,,,,,,,,,
2022-11-23,Austria,,,,,,,,,
2022-11-23,Belgium,,,,,,,,,
2022-11-23,Canada,,,,,,,,,
2022-11-23,Chile,,,,,,,,,
2022-11-23,China,,,,,,,,,
2022-11-23,Colombia,,,,,,,,,
2022-11-23,Costa Rica,,,,,,,,,
2022-11-23,Czechia,,,,,,,,,
2022-11-23,Denmark,,,,,,,,,
2022-11-23,Estonia,,,,,,,,,
2022-11-23,Finland,,,,,,,,,
2022-11-23,France,,,,,,,,,
2022-11-23,Germany,,,,,,,,,
2022-11-23,Greece,,,,,,,,,
2022-11-23,Hungary,,,,,,,,,
2022-11-23,Iceland,,,,,,,,,
2022-11-23,Ireland,,,,,,,,,
2022-11-23,Israel,,,,,,,,,
2022-11-23,Italy,,,,,,,,,
2022-11-23,Japan,,,,,,,,,
2022-11-23,Latvia,,,,,,,,,
2022-11-23,Lithuania,,,,,,,,,
2022-11-23,Luxembourg,,,,,,,,,
2022-11-23,Mexico,,,,,,,,,
2022-11-23,Netherlands,,,,,,,,,
2022-11-23,New Zealand,,,,,,,,,
2022-11-23,Norway,,,,,,,,,
2022-11-23,Poland,,,,,,,,,
2022-11-23,Portugal,,,,,,,,,
2022-11-23,Slovakia,,,,,,,,,
2022-11-23,Slovenia,,,,,,,,,
2022-11-23,South Korea,,,,,,,,,
2022-11-23,Spain,,,,,,,,,
2022-11-23,Sweden,,,,,,,,,
2022-11-23,Switzerland,,,,,,,,,
2022-11-23,Taiwan,,,,,,,,,
2022-11-23,Turkey,,,,,,,,,
2022-11-23,United Kingdom,,,,,,,,,
2022-11-23,United States,,,,,,,,,
